image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
sim-15-1-0.01-0.1-4-1.3-0.5-2-15.rsml,2854.557,12,1396,116.753,2.694,0.351,128,1393,11.356,0.613,64.293
sim-15-1.2-0.01-0.8-4-1.3-0.1-5-10.rsml,7.582,1,7,7.582,0.39,0,0,0,0,0,0
sim-15-1.4-0.01-0.2-4-1.3-1-4-20.rsml,43116.332,25,6276,251.54,2.748,0.241,1067,36288,34.515,0.693,58.629
sim-15-1.2-0.01-0.5-4-1.3-0.9-5-5.rsml,84.461,3,82,28.154,1.588,0,0,0,0,0,0
sim-15-0.6-0.01-0.3-4-1.3-0.2-5-20.rsml,2215.841,9,677,75.672,1.833,0.363,82,1493,18.717,0.853,59.151
sim-15-1-0.01-0.4-4-1.3-0.65-1-10.rsml,1153.557,7,484,69.714,1.875,0.317,45,640,14.79,0.859,64.008
sim-15-0.8-0.01-0.7-4-1.3-0.6-3-15.rsml,8270.702,9,1058,117.988,1.237,0.292,172,7114,41.912,0.871,56.437
sim-15-0.5-0.01-0.8-4-1.3-0.4-1-20.rsml,8631.556,7,820,117.717,0.859,0.271,157,7726,49.73,0.689,55.577
sim-15-1.5-0.01-0.5-4-1.3-0.4-5-20.rsml,28032.352,24,3026,126.579,1.482,0.299,592,24685,42.22,0.841,61.349
sim-15-1-0.01-0.8-4-1.3-0.55-3-10.rsml,1628.724,7,422,60.785,1.704,0.29,54,1173,22.282,1.348,60.087
sim-15-1.2-0.01-0.3-4-1.3-0.4-4-15.rsml,3514.322,14,1174,84.386,2.055,0.329,135,2266,17.281,0.86,66.398
sim-15-1.1-0.01-0.6-4-1.3-0.6-5-5.rsml,46.179,2,45,23.089,1.092,0,0,0,0,0,0
sim-15-1-0.01-0.2-4-1.3-0.95-1-5.rsml,99.334,3,97,33.111,1.695,0,0,0,0,0,0
sim-15-1.4-0.01-0.3-4-1.3-0.75-4-15.rsml,13282.259,16,2608,163.476,2.514,0.303,384,10467,27.778,0.895,59.64
sim-15-0.6-0.01-0.8-4-1.3-0.5-3-5.rsml,14.987,1,14,14.987,0.798,0,0,0,0,0,0
sim-15-1.4-0.01-0.4-4-1.3-0.4-2-20.rsml,26055.982,22,3291,150.075,1.691,0.308,605,22442,37.61,0.802,59.33
sim-15-0.9-0.01-0.2-4-1.3-0.9-1-10.rsml,806.814,7,513,73.988,2.284,0.397,30,274,9.63,0.643,57.877
sim-15-0.7-0.01-0.6-4-1.3-0.25-5-20.rsml,7385.435,11,1048,95.788,1.684,0.282,162,6246,39.085,1.149,61.293
sim-15-0.7-0.01-0.8-4-1.3-0.8-5-20.rsml,15396.775,11,1236,112.815,0.693,0.335,263,14016,53.824,0.549,59.45
sim-15-0.5-0.01-0.4-4-1.3-0.35-3-5.rsml,9.563,1,9,9.563,0.589,0,0,0,0,0,0
sim-15-1.5-0.01-0.8-4-1.3-0.4-5-5.rsml,38.277,3,36,12.759,0.745,0,0,0,0,0,0
sim-15-0.6-0.01-0.1-4-1.3-0.7-2-5.rsml,24.538,1,24,24.538,1.224,0,0,0,0,0,0
sim-15-1.1-0.01-0.2-4-1.3-0.2-2-20.rsml,3462.854,16,1310,82.392,1.983,0.308,143,2069,14.997,0.764,68.927
sim-15-0.5-0.01-0.7-4-1.3-0.75-5-15.rsml,6682.272,6,726,121.459,1.284,0.295,133,5875,44.763,0.895,55.451
sim-15-1.3-0.01-0.2-4-1.3-0.25-4-20.rsml,6257.559,20,1943,97.706,2.309,0.342,245,4176,17.565,0.835,63.825
sim-15-1.5-0.01-0.7-4-1.3-0.55-3-10.rsml,1669.383,10,569,57.515,1.595,0.299,62,1063,17.649,1.12,65.261
sim-15-1.5-0.01-0.1-4-1.3-0.3-3-15.rsml,1657.714,16,1143,71.88,1.657,0.272,57,480,8.906,0.521,59.837
sim-15-0.7-0.01-0.4-4-1.3-0.95-1-10.rsml,1346.7,5,454,91.416,2.609,0.314,53,858,16.785,1.13,56.048
sim-15-1.3-0.01-0.7-4-1.3-0.4-1-10.rsml,695.875,9,328,37.058,1.183,0.418,27,348,13.42,0.883,57.884
sim-15-0.5-0.01-0.1-4-1.3-0.35-2-10.rsml,104.373,3,95,31.943,0.985,0,1,8,8.545,0.383,70.148
sim-15-0.7-0.01-0.2-4-1.3-0.65-5-15.rsml,3784.929,9,1180,131.614,3.275,0.326,139,2526,18.708,0.903,59.02
sim-15-0.5-0.01-0.4-4-1.3-0.3-3-20.rsml,6291.288,8,959,120.308,2.811,0.332,158,5238,33.727,1.38,60.132
sim-15-0.6-0.01-0.3-4-1.3-0.2-2-20.rsml,2382.088,9,716,80.008,1.917,0.347,93,1614,17.871,0.861,64.879
sim-15-1.5-0.01-0.4-4-1.3-0.5-5-20.rsml,32801.449,24,3888,162.504,1.748,0.293,698,28530,41.406,0.811,59.032
sim-15-1.5-0.01-0.3-4-1.3-0.9-3-10.rsml,2381.139,12,1051,87.956,2.552,0.313,90,1280,14.73,0.91,56.525
sim-15-1.5-0.01-0.4-4-1.3-0.8-2-15.rsml,18425.717,18,2791,155.468,1.844,0.302,478,15391,32.693,0.81,58.459
sim-15-1.1-0.01-0.4-4-1.3-0.9-2-20.rsml,39692.68,18,3625,201.845,1.795,0.296,695,35687,51.884,0.805,58.459
sim-15-0.6-0.01-0.3-4-1.3-0.95-2-5.rsml,34.933,1,34,34.933,1.644,0,0,0,0,0,0
sim-15-0.8-0.01-0.5-4-1.3-0.95-2-5.rsml,44.585,2,43,22.293,1.512,0,0,0,0,0,0
sim-15-0.8-0.01-0.4-4-1.3-0.75-1-5.rsml,29.768,2,28,14.884,1.127,0,0,0,0,0,0
sim-15-0.7-0.01-0.3-4-1.3-0.65-5-5.rsml,19.979,1,19,19.979,1.038,0,0,0,0,0,0
sim-15-1.4-0.01-0.3-4-1.3-0.75-5-15.rsml,13569.125,16,2568,161.067,2.483,0.318,400,10784,27.48,0.885,60.964
sim-15-0.6-0.01-0.8-4-1.3-0.65-3-20.rsml,13522.159,10,1058,106.202,0.789,0.296,222,12346,56.127,0.639,57.13
sim-15-1.3-0.01-0.4-4-1.3-1-3-5.rsml,102.058,3,100,34.019,1.772,0,0,0,0,0,0
sim-15-1.1-0.01-0.3-4-1.3-0.55-2-15.rsml,7079.613,13,1600,123.635,2.919,0.3,229,5353,23.897,1.112,61.922
sim-15-1.3-0.01-0.4-4-1.3-0.6-1-20.rsml,33206.105,22,3699,168.57,1.77,0.269,677,29143,43.571,0.811,58.652
sim-15-1-0.01-0.8-4-1.3-0.6-1-5.rsml,42.649,2,41,21.324,1.044,0,0,0,0,0,0
sim-15-1.2-0.01-0.4-4-1.3-0.95-3-5.rsml,102.617,3,100,34.206,1.729,0,0,0,0,0,0
sim-15-0.5-0.01-0.7-4-1.3-0.55-2-15.rsml,5097.892,6,664,111.164,1.51,0.286,109,4371,40.651,1.062,53.065
sim-15-1.3-0.01-0.4-4-1.3-0.6-5-15.rsml,11314.312,15,2029,135.754,2.063,0.297,304,9114,30.52,0.952,60.41
sim-15-1.3-0.01-0.1-4-1.3-0.25-5-5.rsml,9.888,1,9,9.888,0.483,0,0,0,0,0,0
sim-15-1.1-0.01-0.6-4-1.3-0.7-2-20.rsml,27577.188,18,2388,133.223,1.037,0.306,488,24922,51.597,0.673,58.002
sim-15-1.4-0.01-0.4-4-1.3-0.45-4-10.rsml,647.02,9,386,43.376,1.339,0.398,25,242,10.266,0.663,66.967
sim-15-0.8-0.01-0.3-4-1.3-1-5-10.rsml,1370.401,6,577,96.766,2.768,0.294,58,760,13.617,0.913,58.768
sim-15-1.1-0.01-0.3-4-1.3-0.15-5-20.rsml,2548.084,15,910,61.194,1.554,0.327,101,1585,16.14,0.775,67.261
sim-15-1.2-0.01-0.3-4-1.3-0.6-3-5.rsml,48.032,2,47,24.016,1.134,0,0,0,0,0,0
sim-15-1.5-0.01-0.8-4-1.3-0.4-3-20.rsml,18401.363,24,1964,82.289,0.705,0.281,389,16227,42.227,0.588,63.289
sim-15-0.9-0.01-0.4-4-1.3-0.35-3-10.rsml,194.335,6,157,26.469,0.914,0.453,5,33,7.105,0.503,55.877
sim-15-0.6-0.01-0.3-4-1.3-0.15-5-20.rsml,994.952,7,417,60.062,1.381,0.344,46,554,12.49,0.677,60.352
sim-15-1-0.01-0.2-4-1.3-0.4-3-10.rsml,375.295,7,295,42.721,1.234,0.441,11,71,6.932,0.472,53.433
sim-15-0.6-0.01-0.6-4-1.3-0.65-4-15.rsml,7175.965,7,894,128.154,1.545,0.315,155,6203,40.509,0.975,58.483
sim-15-1.3-0.01-0.7-4-1.3-0.75-2-5.rsml,70.614,3,69,23.538,1.313,0,0,0,0,0,0
sim-15-0.8-0.01-0.3-4-1.3-0.4-4-20.rsml,14631.822,13,2127,164.172,2.404,0.328,354,12310,35.304,0.916,63.082
