image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1.4-25-r1-12.rsml,180.46674,10,63.0,6.9690313,0.13349815,3.1592076,89,56.0,1.2446793,0.051247403,47.782974
monocot_2D_-10-1-0.1-0.001-0.4-3-0-1.4-5-r1-12.rsml,108.45085,10,63.0,6.96703,0.13398592,1.6980594,40,12.0,0.96951413,0.05171906,49.294758
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1-10-r1-12.rsml,68.00859,9,43.0,5.3527207,0.09553628,2.932063,23,5.0,0.86235243,0.036807664,51.382973
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1-15-r1-12.rsml,69.48137,9,39.0,5.0842695,0.090651795,2.3749385,27,10.0,0.8786279,0.034856327,49.936478
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1-20-r1-12.rsml,81.317726,9,41.0,5.2442036,0.09364083,2.8014343,37,16.0,0.92215914,0.035838712,46.4369
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1-25-r1-12.rsml,93.04343,9,44.0,5.393876,0.09620541,3.0499501,44,22.0,1.0113308,0.03698759,52.976257
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1-5-r1-12.rsml,58.537033,9,41.0,5.2509646,0.09332385,1.2947994,14,3.0,0.80559635,0.035678826,53.226795
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.2-10-r1-12.rsml,103.83904,10,52.0,6.0210876,0.11628223,2.1255095,39,20.0,1.1186706,0.04423587,52.085102
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.2-15-r1-12.rsml,100.56484,10,49.0,5.634181,0.109648354,2.8714247,40,22.0,1.1055759,0.041992508,50.129868
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.2-20-r1-12.rsml,112.914665,10,52.0,5.9778047,0.11432972,3.0642385,49,23.0,1.0844204,0.043615017,47.943615
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.2-25-r1-12.rsml,113.779594,10,49.0,5.685869,0.10899699,2.8650029,45,32.0,1.2649089,0.041844435,51.39012
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.2-5-r1-12.rsml,73.8155,10,51.0,5.873037,0.11290364,1.3195256,18,3.0,0.83806324,0.043641012,41.185318
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.4-10-r1-12.rsml,105.11837,10,60.0,6.70565,0.12776487,2.2898283,35,17.0,1.0874821,0.048676535,48.075676
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.4-15-r1-12.rsml,166.58823,10,66.0,7.2528152,0.13977669,2.4331322,72,53.0,1.30639,0.053812455,48.414463
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.4-20-r1-12.rsml,160.85384,10,65.0,7.214894,0.1376983,2.6995213,71,47.0,1.249365,0.05250005,49.759583
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.4-25-r1-12.rsml,152.32211,10,63.0,6.9766726,0.13414603,2.4520538,64,43.0,1.2899281,0.051463723,51.597786
monocot_2D_-10-1-0.1-0.001-0.4-4-0-1.4-5-r1-12.rsml,82.84467,10,60.0,6.6935353,0.12870733,1.6710246,17,6.0,0.9358421,0.049297266,50.242832
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1-10-r1-12.rsml,64.03613,9,45.0,5.4677706,0.09941028,2.0456321,21,2.0,0.7060095,0.038381845,42.626057
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1-15-r1-12.rsml,68.58799,9,43.0,5.3572273,0.095349886,1.9954885,24,8.0,0.8488721,0.037013177,50.7153
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1-20-r1-12.rsml,71.11721,9,45.0,5.4701667,0.09862685,1.9463726,26,6.0,0.8417583,0.038176604,48.007095
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1-25-r1-12.rsml,72.63006,9,42.0,5.308811,0.09435666,2.105101,26,9.0,0.95579886,0.03659356,51.434685
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1-5-r1-12.rsml,56.55095,9,42.0,5.3006635,0.09440009,2.1637673,11,3.0,0.8040894,0.036543187,58.41773
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.2-10-r1-12.rsml,84.55309,10,50.0,5.725229,0.11020233,2.2585418,29,10.0,0.9414066,0.04229997,50.532917
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.2-15-r1-12.rsml,97.955605,10,52.0,5.9740553,0.114978015,2.389578,33,18.0,1.158032,0.044028953,50.649517
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.2-20-r1-12.rsml,93.93362,10,51.0,5.8674784,0.113834836,2.6294034,32,16.0,1.1018386,0.04371216,51.216927
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.2-25-r1-12.rsml,89.46557,10,49.0,5.678015,0.108980164,2.3485405,33,14.0,0.9904672,0.041741617,43.997173
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.2-5-r1-12.rsml,76.17028,10,55.0,6.214649,0.1199087,1.8216269,18,1.0,0.7791005,0.046161335,52.68563
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.4-10-r1-12.rsml,111.57506,10,63.0,6.954318,0.134341,2.3530617,42,16.0,1.000759,0.05140918,46.971817
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.4-15-r1-12.rsml,118.44899,10,62.0,6.923623,0.13159071,2.2617178,41,25.0,1.2003117,0.050738666,49.689568
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.4-20-r1-12.rsml,161.49188,10,65.0,7.1817937,0.13852525,2.1510916,63,50.0,1.4233956,0.052801512,48.65522
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.4-25-r1-12.rsml,129.4901,10,62.0,6.90918,0.13229649,1.8546487,49,30.0,1.2326185,0.050733797,47.80802
monocot_2D_-10-1-0.1-0.001-0.4-5-0-1.4-5-r1-12.rsml,91.79264,10,63.0,6.969632,0.13424315,1.5509079,25,7.0,0.8838526,0.051662914,39.024067
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1-10-r1-12.rsml,86.27898,9,45.0,5.460546,0.09650976,2.4592757,35,16.0,1.0609733,0.04583647,51.891586
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1-15-r1-12.rsml,95.33195,9,39.0,5.015992,0.090142705,3.6859028,44,26.0,1.1406372,0.04329081,53.420315
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1-20-r1-12.rsml,96.578995,9,40.0,5.1882,0.0922601,3.5844238,48,24.0,1.0392748,0.04392997,47.945877
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1-25-r1-12.rsml,93.27077,9,39.0,5.0705595,0.09051897,3.3598971,45,24.0,1.0585712,0.043551333,46.248802
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1-5-r1-12.rsml,66.997475,9,45.0,5.4837427,0.09765261,1.9994503,20,4.0,0.88218975,0.04614004,51.829853
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1.2-10-r1-12.rsml,123.442825,10,49.0,5.676485,0.10899103,2.466427,58,27.0,1.1496205,0.052410107,50.875336
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1.2-15-r1-12.rsml,186.42418,10,55.0,6.2117844,0.1186005,3.69125,94,67.0,1.3224086,0.05627101,49.933388
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1.2-20-r1-12.rsml,150.52974,10,50.0,5.71445,0.109832115,3.4246328,77,42.0,1.2127949,0.052442007,49.08525
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1.2-25-r1-12.rsml,181.31752,10,52.0,5.959331,0.114495315,3.6607354,91,66.0,1.3376284,0.05451572,47.928417
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1.2-5-r1-12.rsml,107.59686,10,50.0,5.6973133,0.110720165,2.5982206,50,16.0,1.0124751,0.053033136,50.12106
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1.4-10-r1-12.rsml,161.6631,10,61.0,6.795297,0.13062981,2.9086044,86,40.0,1.0896528,0.06204997,47.80127
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1.4-15-r1-12.rsml,214.00587,10,61.0,6.759122,0.12944026,3.9137475,110,80.0,1.3310426,0.061678942,46.599823
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1.4-20-r1-12.rsml,219.87346,10,60.0,6.6877775,0.12878805,3.9603748,112,86.0,1.3660334,0.06121339,49.24344
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1.4-25-r1-12.rsml,244.66814,10,63.0,7.1067924,0.13531098,3.7174497,112,107.0,1.5500022,0.06449864,48.82291
monocot_2D_-10-1-0.1-0.001-0.5-3-0-1.4-5-r1-12.rsml,129.63248,10,60.0,6.7080584,0.12909417,3.362658,66,20.0,0.9477557,0.061286565,47.950005
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1-10-r1-12.rsml,79.80802,9,45.0,5.4660063,0.098813504,2.2877636,30,12.0,1.0204661,0.047322035,48.143394
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1-15-r1-12.rsml,81.47636,9,42.0,5.301024,0.094358414,2.5769565,30,15.0,1.1255709,0.045004282,47.527744
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1-20-r1-12.rsml,87.57916,9,39.0,5.0817714,0.09081138,3.0727427,34,17.0,1.2306836,0.043504093,54.105156
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1-25-r1-12.rsml,94.47802,9,41.0,5.2547717,0.09341548,2.9515738,40,24.0,1.1796268,0.044389505,51.388172
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1-5-r1-12.rsml,56.366734,9,41.0,5.240843,0.09369305,1.8782454,11,3.0,0.8362859,0.045042213,50.864834
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1.2-10-r1-12.rsml,134.15887,10,55.0,6.204189,0.1182201,2.900195,64,34.0,1.1268278,0.056226335,47.15086
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1.2-15-r1-12.rsml,123.98089,10,50.0,5.7114153,0.110587575,2.8640134,58,32.0,1.1528745,0.052744154,42.049267
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1.2-20-r1-12.rsml,138.75543,10,50.0,5.713727,0.11127583,2.6965954,65,40.0,1.2556639,0.05269291,43.50503
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1.2-25-r1-12.rsml,153.60822,10,55.0,6.2179365,0.11895297,3.0744636,73,46.0,1.25245,0.05661342,45.810207
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1.2-5-r1-12.rsml,104.91033,10,55.0,6.212591,0.118147895,2.4294002,48,9.0,0.8913427,0.056175206,49.114216
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1.4-10-r1-12.rsml,147.65486,10,63.0,6.9552574,0.13419475,2.7932527,66,36.0,1.1833681,0.063633814,48.00726
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1.4-15-r1-12.rsml,201.16222,10,66.0,7.2825933,0.1398924,3.1820178,91,73.0,1.4102888,0.06655967,49.27556
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1.4-20-r1-12.rsml,207.10272,10,65.0,7.210571,0.13813733,3.2291214,88,82.0,1.5340563,0.06544214,48.058933
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1.4-25-r1-12.rsml,196.92262,10,63.0,7.1005692,0.13600844,2.881471,79,77.0,1.5938853,0.06451732,46.35923
monocot_2D_-10-1-0.1-0.001-0.5-4-0-1.4-5-r1-12.rsml,117.45864,10,65.0,7.1965327,0.13856126,1.7881597,50,12.0,0.90986633,0.06595457,51.08491
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1-10-r1-12.rsml,69.52921,9,40.0,5.1880655,0.09228158,2.1000717,23,10.0,0.9928965,0.044290833,53.132008
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1-15-r1-12.rsml,79.366516,9,45.0,5.462329,0.09873952,2.5939865,27,14.0,1.1187246,0.046912424,47.201546
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1-20-r1-12.rsml,78.88062,9,39.0,5.0758085,0.09088587,2.439805,29,18.0,1.1447705,0.043478925,47.93942
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1-25-r1-12.rsml,82.912346,9,39.0,5.095212,0.0908978,2.4710631,32,18.0,1.1579827,0.0431194,52.647526
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1-5-r1-12.rsml,58.135212,9,45.0,5.4738054,0.097678825,2.3547974,12,0.0,0.7392473,0.046191197,54.555676
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1.2-10-r1-12.rsml,105.83161,10,50.0,5.7274446,0.11127001,2.0205767,43,22.0,1.129236,0.05306294,41.72101
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1.2-15-r1-12.rsml,130.73236,10,53.0,6.075963,0.11693263,2.5266354,54,36.0,1.2957911,0.05570152,47.04056
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1.2-20-r1-12.rsml,130.91609,10,55.0,6.226683,0.119917445,2.435691,54,39.0,1.2712817,0.056902014,47.17367
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1.2-25-r1-12.rsml,150.61838,10,55.0,6.1935496,0.118988074,2.5975769,61,48.0,1.4538177,0.05688758,49.988117
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1.2-5-r1-12.rsml,95.190414,10,53.0,6.0403433,0.1177243,2.0655127,35,10.0,0.993914,0.056137398,53.917843
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1.4-10-r1-12.rsml,135.82166,10,63.0,7.1129937,0.13550806,1.8492416,54,32.0,1.1979944,0.06428865,49.303238
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1.4-15-r1-12.rsml,144.25574,10,60.0,6.7235465,0.12914878,2.4061337,58,45.0,1.3279359,0.061494652,46.11631
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1.4-20-r1-12.rsml,167.78548,10,65.0,7.209641,0.13724247,2.2402332,67,58.0,1.4281946,0.06526748,45.400635
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1.4-25-r1-12.rsml,175.71523,10,65.0,7.188394,0.1380422,2.4841635,69,67.0,1.5048008,0.06596286,48.326565
monocot_2D_-10-1-0.1-0.001-0.5-5-0-1.4-5-r1-12.rsml,107.95323,10,61.0,6.8031516,0.13114563,2.1642423,39,14.0,1.0236341,0.06238188,51.04214
monocot_2D_-10-1-0.1-0.011-0.3-3-0-1-10-r1-12.rsml,68.38399,9,40.0,5.2071686,0.0919427,2.5358608,35,2.0,0.6148419,0.027020026,52.387676
monocot_2D_-10-1-0.1-0.011-0.3-3-0-1-15-r1-12.rsml,76.25696,9,42.0,5.3069525,0.09469128,2.9976065,42,3.0,0.6784376,0.027542181,57.16991
monocot_2D_-10-1-0.1-0.011-0.3-3-0-1-20-r1-12.rsml,87.20202,9,45.0,5.4671826,0.0981686,4.0881495,53,9.0,0.7169319,0.028508162,50.564228
monocot_2D_-10-1-0.1-0.011-0.3-3-0-1-25-r1-12.rsml,71.7477,9,39.0,5.0856237,0.09048956,2.7063847,38,5.0,0.6836073,0.026580552,50.297215
