 ,image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
96,sim-10-4-0.025-0.2-6-0.8-0.2-1-10.rsml,355.028,24,345,14.793,0.623,0,0,0,0,0,0
97,sim-10-1-0.01-0.4-4-1-0.3-4-20.rsml,8533.523,16,1511,94.89,2.873,0.352,240,6894,29.23,1.391,41.976
98,sim-10-2.5-0.01-0.3-6-0.8-0.3-4-10.rsml,340.086,15,319,21.706,0.873,0,2,14,7.249,0.371,45.007
99,sim-16-2.5-0.025-0.3-6-0.8-0.2-3-20.rsml,13233.787,40,3927,98.659,1.879,0.222,358,9097,25.943,0.738,30.813
100,sim-16-1-0.01-0.4-6-1.2-0.3-1-20.rsml,14272.074,17,2421,142.902,2.072,0.2,281,11694,42.145,0.988,55.203
101,sim-16-2.5-0.01-0.2-6-1-0.3-2-10.rsml,651.711,17,576,34.525,0.86,0.236,10,60,6.479,0.261,50.471
102,sim-10-1-0.01-0.2-6-1-0.2-2-10.rsml,90.721,6,87,15.12,0.579,0,0,0,0,0,0
103,sim-10-4-0.04-0.3-4-0.8-0.4-3-10.rsml,1122.39,28,838,30.484,1.143,0.402,38,253,7.075,0.434,31.224
104,sim-10-4-0.01-0.2-6-1-0.3-3-20.rsml,13793.438,40,5539,138.931,2.733,0.226,494,7982,16.672,0.677,44.595
105,sim-10-4-0.04-0.4-6-1.2-0.4-4-20.rsml,31845.123,40,6317,158.428,2.023,0.2,753,25113,33.875,0.887,42.144
106,sim-16-4-0.025-0.4-6-1.2-0.2-4-10.rsml,621.162,24,539,22.923,0.595,0.391,12,65,5.918,0.304,61.128
107,sim-16-1-0.025-0.3-6-1-0.2-2-20.rsml,5851.449,16,1699,106.737,2.022,0.218,161,4064,25.737,0.782,38.384
108,sim-10-1-0.025-0.2-6-0.8-0.3-1-20.rsml,4371.383,16,1653,103.764,3.052,0.212,145,2641,18.698,0.803,29.824
109,sim-16-4-0.025-0.3-6-1.2-0.3-3-20.rsml,44427.422,40,8727,218.688,1.911,0.202,1071,35106,33.315,0.657,49.631
110,sim-10-2.5-0.04-0.4-6-1-0.2-2-10.rsml,181.948,12,176,15.162,0.595,0,0,0,0,0,0
111,sim-16-2.5-0.025-0.3-6-1.2-0.4-3-10.rsml,1242.93,17,862,51.3,1.227,0.263,37,353,10.023,0.452,55.201
112,sim-10-4-0.025-0.3-4-1-0.2-4-20.rsml,10561.411,40,3500,88.022,2.028,0.307,444,6820,15.857,0.743,41.121
113,sim-10-2.5-0.04-0.2-6-1-0.2-4-10.rsml,211.76,15,203,14.117,0.586,0,0,0,0,0,0
114,sim-10-1-0.04-0.4-4-1.2-0.2-2-20.rsml,3428.644,15,945,63.51,1.863,0.317,123,2414,20.13,0.932,46.144
115,sim-10-4-0.04-0.3-4-1.2-0.4-2-10.rsml,1116.449,28,863,31.326,1.191,0.415,37,222,6.468,0.448,52.264
116,sim-16-4-0.025-0.4-4-1.2-0.2-1-20.rsml,32190.781,40,5629,141.254,1.486,0.285,901,26070,29.457,0.684,50.54
117,sim-16-1-0.04-0.2-6-1-0.4-3-20.rsml,16930.289,17,3505,206.592,2.873,0.213,379,13214,35.404,0.725,35.839
118,sim-16-2.5-0.025-0.2-6-0.8-0.2-5-10.rsml,378.298,15,371,25.22,0.631,0,0,0,0,0,0
119,sim-16-1-0.025-0.2-6-1.2-0.2-4-20.rsml,3994.34,16,1653,103.92,1.983,0.2,133,2261,17.531,0.563,51.15
120,sim-10-4-0.04-0.2-4-0.8-0.4-5-10.rsml,902.112,28,825,30.018,1.145,0.402,10,56,6.161,0.337,38.864
121,sim-16-1-0.01-0.3-4-1.2-0.3-3-10.rsml,364.746,7,255,36.965,0.937,0.452,13,100,8.153,0.357,58.277
122,sim-10-2.5-0.01-0.3-6-1.2-0.4-4-20.rsml,18248.842,40,4998,125.484,2.601,0.205,481,12972,27.504,0.942,54.114
123,sim-10-1-0.04-0.4-6-1.2-0.4-2-10.rsml,283.516,7,218,31.701,1.211,0.318,6,57,10.268,0.598,57.783
124,sim-10-1-0.025-0.3-6-0.8-0.3-4-10.rsml,167.336,6,152,25.92,0.954,0.367,2,11,5.908,0.369,25.93
125,sim-10-2.5-0.04-0.4-4-0.8-0.2-5-20.rsml,10392.223,40,2551,64.289,1.928,0.304,335,7649,23.345,0.977,27.496
126,sim-16-4-0.04-0.3-4-1-0.2-1-10.rsml,669.649,24,583,24.737,0.605,0.395,15,69,5.064,0.264,44.741
127,sim-16-4-0.025-0.4-6-1-0.3-1-10.rsml,1369.507,28,973,35.257,0.914,0.251,39,360,9.803,0.452,41.096
128,sim-16-1-0.025-0.4-4-0.8-0.3-1-20.rsml,23668.379,16,2463,154.461,1.902,0.325,430,20973,49.295,0.904,27.962
129,sim-16-2.5-0.04-0.2-6-0.8-0.2-4-20.rsml,11469.878,40,4247,106.666,2.017,0.207,358,7025,20.121,0.567,29.294
