"","image","diam_max","diam_mean","diam_mode","length","area","width","depth","width_depth_ratio","com_x","com_x.1","ellips_025","ellips_050","ellips_075","ellips_100","rect_020","rect_040","rect_060","rect_080","directionality","tip_count","cross_hori_0_mean","cross_hori_0_max","cross_hori_1_mean","cross_hori_1_max","cross_hori_2_mean","cross_hori_2_max","cross_hori_3_mean","cross_hori_3_max","cross_vert_mean","cross_vert_max","coord_x0","coord_x1","coord_x2","coord_x3","coord_x4","coord_x5","coord_x6","coord_x7","coord_x8","coord_x9"
"22","sim-15-1-0.01-0.2-5-1.3-0.15-2-20",2.2639868,0.6338754,0.14149918,181118.94,12493.104,112.916336,188.6184,0.5986497,0.54274166,0.3327059,0.25910908,0.28365293,0.24258418,0.17643927,0.3689051,0.16309702,0.091878,0.051590763,20.22315,115,1320.7792,4500,775.4491,2700,374.2515,1700,113.77245,200,1052.405,10400,0.518797,0.23182957,0.1754386,0.53258145,0.5714286,0.59398496,0.97117794,0.9235589,0.80075186,0.56390977
"23","sim-15-1-0.01-0.2-5-1.3-0.15-4-20",2.587519,0.48736188,0.112500824,144001.06,10754.292,85.27563,148.2761,0.57511383,0.42764354,0.35488793,0.26423484,0.32429153,0.23716171,0.15036666,0.34251463,0.2239076,0.12072013,0.102810875,25.07988,110,1275.8389,3900,930.30304,2900,298.78787,2200,127.878784,200,1124.5902,9100,0.41952506,0.16490765,0.12005277,0.3707124,0.57387865,0.6015831,0.5131926,0.9841689,0.80474937,0.47493404
"24","sim-15-1-0.01-0.2-5-1.3-0.15-5-20",1.39573,0.42101544,0.116310835,148877.86,11317.16,89.0941,154.11185,0.5781132,0.57498103,0.35370868,0.21175528,0.27912354,0.26554713,0.18871337,0.32398432,0.1951984,0.11077995,0.05498402,32.861973,144,1283.8926,6400,904.8193,3700,336.1446,1600,131.9277,200,1118.1572,10400,0.45953003,0.30156657,0.023498695,0.72845954,0.70887727,0.73498696,0.8981723,0.79765016,0.80809397,0.5091384
"25","sim-15-1-0.01-0.2-5-1.3-0.17-1-20",2.96037,0.4800112,0.1057275,202996.81,20822.08,78.76699,214.62683,0.36699507,0.48241892,0.34748024,0.19890729,0.283491,0.23979771,0.21269822,0.31361678,0.17165548,0.085421525,0.052426867,30.298777,74,1745.9227,13600,1041.3386,5800,390.9449,1900,132.28346,200,2271.469,13100,0.4805369,0.14630872,0.05637584,0.33154362,0.27919462,0.31140938,0.9234899,0.8013423,0.914094,0.5288591
"26","sim-15-1-0.01-0.2-5-1.3-0.17-2-20",2.221018,0.52860355,0.15864415,203064.52,14806.735,124.218376,216.70792,0.5732064,0.51631516,0.340838,0.24890447,0.30176893,0.2151222,0.15975057,0.34098336,0.20414001,0.14545766,0.0688181,34.893593,108,1557.595,9900,915.7895,3600,423.9766,3400,114.61988,200,1281.6273,13700,0.6028097,0.1890166,0.07279693,0.0025542784,0.51979566,0.541507,0.6270754,0.72158366,0.9412516,0.6475096
"27","sim-15-1-0.01-0.2-5-1.3-0.17-4-20",3.3819041,0.7133075,0.096625835,185521.6,21121.828,75.1749,196.82683,0.38193423,0.48350248,0.3553595,0.22085236,0.31420806,0.28591818,0.100240625,0.30660036,0.23153426,0.13242358,0.060966905,30.438107,77,1885.4077,4800,1077.2549,7100,418.43137,5400,134.90196,200,2259.4736,15200,0.38046274,0.16195373,0.18251929,0.47943446,0.96015424,0.9987146,0.811054,0.58868897,0.6606684,0.43830335
"28","sim-15-1-0.01-0.2-5-1.3-0.17-5-20",2.066925,0.49310642,0.11482917,146981.34,13203.402,86.69602,156.2825,0.5547392,0.51070094,0.34326497,0.23177339,0.30209684,0.25327224,0.15384014,0.34437266,0.20507379,0.088456556,0.08455163,53.200283,117,1689.6774,6700,995.8823,6800,330.58823,2100,134.11765,200,1430.854,14600,0.44900662,0.056953643,0.28741723,0.29403973,0.3165563,0.34701988,0.58145696,0.9218543,0.818543,0.5033113
"29","sim-15-1-0.01-0.2-5-1.3-0.19-1-20",2.9430134,0.85363847,0.13377334,171229.88,16366.499,103.808105,186.21248,0.5574713,0.5702711,0.33958668,0.22345826,0.3583473,0.26037845,0.13984224,0.3592137,0.20657158,0.13668723,0.0980179,39.751614,208,1920,10900,1012.6437,2900,374.71265,1800,125.86207,200,1440,10000,0.5,0.23453608,0.43814433,0.3724227,0.496134,0.5270619,0.51417524,0.9381443,0.89304125,0.53994846
"30","sim-15-1-0.01-0.2-5-1.3-0.19-2-20",1.9367499,0.5315026,0.12911667,165269.33,16987.621,98.77425,178.9557,0.5519481,0.5467517,0.32947895,0.18228596,0.25297946,0.24306062,0.17945853,0.34169403,0.12595008,0.06707558,0.050491,44.730236,170,2110.063,18400,1053.7572,4300,344.50867,1000,110.404625,200,1606.7385,5700,0.64705884,0.1882353,0.043137256,0.0026143792,0.3006536,0.33071896,0.4248366,0.98039216,0.9385621,0.69673204
"31","sim-15-1-0.01-0.2-5-1.3-0.19-4-20",2.9358168,0.55529165,0.15451667,197781.34,15369.31,119.44138,212.15138,0.56300074,0.3567884,0.33363158,0.2368122,0.29124233,0.2543859,0.1457971,0.36912745,0.17380638,0.10672887,0.033689566,41.039074,131,1676.7296,6100,958.72095,6400,333.72092,1200,129.06976,200,1320.5804,10200,0.39068565,0.07373868,0.15523933,0.095730916,0.12031048,0.14489004,0.1694696,0.9896507,0.79560155,0.44113842
