image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
monocot-shov-12.613-1-1.36-0.00772-0.449-2.386-0-1.631-1.366-18.509-7-r460-7.rsml,6647.9033,393.0,1119.0,259.87747,5,3212.0,643.0152,19.26379,0.03708761,19,3423.0,180.67513,8.247094,49.547657,43,24.0,14.0,0.5833333
monocot-shov-12.616-1-1.525-0.01068-0.711-3.735-0-1.484-1.003-8.549-6-r36-6.rsml,3525.751,451.0,760.0,260.5256,4,1908.0,477.4657,17.527567,0.026490431,12,1609.0,134.6574,11.861305,24.812536,28,16.0,9.0,0.5625
monocot-shov-12.688-1-1.37-0.01792-0.186-4.964-0-0.561-1.509-18.873-8-r299-8.rsml,1254.4535,237.0,410.0,274.7932,5,1252.0,250.8907,6.625982,0.0,0,0.0,0.0,0.0,0.0,5,5.0,5.0,1.0
monocot-shov-12.714-1-1.649-0.02852-0.175-2.773-0-0.879-1.218-16.992-9-r492-9.rsml,3251.5962,470.0,821.0,265.93048,7,3093.0,442.36484,10.381895,0.030591885,2,154.0,77.52118,1.83609,50.72653,11,9.0,7.0,0.7777778
monocot-shov-12.84-1-1.634-0.0066-0.519-4.904-0-1.41-1.25-18.514-6-r246-6.rsml,1553.1819,229.0,469.0,289.32733,4,1162.0,290.921,16.65354,0.025987703,3,388.0,129.83264,8.268405,35.402637,10,7.0,4.0,0.5714286
monocot-shov-12.866-1-1.474-0.01875-0.745-4.354-0-0.929-1.106-19.306-7-r18-7.rsml,2456.465,347.0,588.0,292.1149,5,1772.0,354.81464,10.972442,0.029212873,4,680.0,170.59799,7.823295,28.188534,13,9.0,5.0,0.5555556
monocot-shov-12.883-1-1.132-0.00305-0.42-5.734-0-1.525-1.674-10.238-10-r292-10.rsml,13546.048,840.0,1753.0,243.82611,8,7728.0,966.19244,18.011808,0.018643359,38,5800.0,153.066,7.1757517,70.51132,84,46.0,13.0,0.2826087
monocot-shov-12.898-1-1.437-0.02717-0.685-2.037-0-0.609-1.093-23.578-10-r71-10.rsml,7545.1616,571.0,641.0,265.52036,7,2775.0,396.96036,7.1929107,0.034481976,35,4749.0,136.184,4.702022,41.097397,77,42.0,15.0,0.35714287
monocot-shov-12.943-1-1.027-0.01934-0.217-4.724-0-1.365-1.204-15.924-9-r75-9.rsml,7014.999,319.0,1353.0,255.6014,7,5399.0,771.8941,16.12206,0.018937347,16,1604.0,100.73377,3.4122996,44.58373,39,23.0,11.0,0.47826087
monocot-shov-12.966-1-1.209-0.02732-0.615-5.593-0-0.794-1.191-24.828-6-r46-6.rsml,1161.714,248.0,412.0,260.02124,4,1159.0,290.4285,9.377956,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
monocot-shov-12.994-1-1.371-0.02527-0.631-5.216-0-0.489-1.497-25.988-8-r326-8.rsml,1199.424,212.0,352.0,267.23843,5,1156.0,231.45706,5.7755895,0.0,1,42.0,42.138683,3.557929,37.769363,7,6.0,5.0,0.8333333
monocot-shov-13.014-1-1.103-0.00999-0.654-4.558-0-0.324-1.059-26.503-9-r123-9.rsml,1050.6372,176.0,235.0,258.30618,5,965.0,193.73694,3.8267725,0.0,1,81.0,81.9525,2.526156,52.7057,7,6.0,5.0,0.8333333
monocot-shov-13.032-1-1.247-0.0199-0.374-2.32-0-0.866-1.581-29.842-7-r499-7.rsml,2057.7878,214.0,586.0,275.62024,5,1658.0,331.88483,10.228343,0.036747247,4,396.0,99.59099,3.6886394,80.49275,13,9.0,5.0,0.5555556
monocot-shov-13.091-1-1.463-0.02505-0.492-3.192-0-1.209-1.221-15.296-7-r260-7.rsml,4042.2764,321.0,821.0,273.03525,5,2457.0,491.92056,14.279536,0.03315062,13,1575.0,121.74413,6.636086,40.18375,31,18.0,10.0,0.5555556
monocot-shov-13.295-1-1.292-0.02419-0.787-2.197-0-0.208-1.172-8.231-8-r48-8.rsml,462.9103,95.0,117.0,266.90573,4,460.0,115.72758,2.4566932,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
monocot-shov-13.426-1-1.205-0.00281-0.47-5.523-0-0.4-1.502-27.439-5-r33-5.rsml,287.86047,45.0,117.0,243.84904,2,287.0,143.93024,4.7244105,0.0,0,0.0,0.0,0.0,0.0,2,2.0,2.0,1.0
monocot-shov-13.438-1-1.179-0.00258-0.867-3.875-0-0.826-1.458-28.857-6-r170-6.rsml,1389.9862,372.0,409.0,270.00067,4,1130.0,282.73978,9.755905,0.04370977,2,258.0,129.51355,8.036759,58.102093,8,6.0,4.0,0.6666667
monocot-shov-13.466-1-1.364-0.02727-0.187-4.912-0-0.936-1.319-14.256-8-r141-8.rsml,2744.4763,295.0,764.0,274.5464,6,2659.0,443.6217,11.055116,0.0,1,82.0,82.74572,2.058933,63.679737,8,7.0,6.0,0.85714287
monocot-shov-13.558-1-1.188-0.0264-0.193-4.498-0-1.471-0.982-10.738-5-r143-5.rsml,1220.6115,118.0,587.0,286.2405,3,1219.0,406.87048,17.374022,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-shov-13.634-1-1.232-0.00833-0.881-2.066-0-1.127-1.157-11.363-9-r408-9.rsml,27938.174,746.0,1174.0,258.408,7,4713.0,673.59235,13.311031,0.03773089,91,23178.0,255.19812,11.043287,41.80718,189,98.0,32.0,0.3265306
monocot-shov-13.635-1-1.643-0.00524-0.85-5.888-0-0.294-0.94-9.16-7-r21-7.rsml,402.8128,83.0,117.0,223.47253,3,401.0,134.27094,3.4724412,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-shov-13.657-1-1.259-0.00141-0.209-2.066-0-0.479-1.179-17.368-6-r415-6.rsml,532.4509,92.0,235.0,263.44498,3,532.0,177.48364,5.657479,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-shov-13.668-1-1.191-0.02488-0.368-4.106-0-1.018-1.479-23.969-8-r449-8.rsml,3705.747,437.0,881.0,274.71738,6,3092.0,516.0517,12.023622,0.024944762,7,607.0,87.06244,4.266677,56.019386,20,13.0,7.0,0.53846157
monocot-shov-13.686-1-1.568-0.02615-0.459-5.775-0-0.149-1.337-21.205-9-r269-9.rsml,211.80151,28.0,43.0,246.51244,3,211.0,70.6005,1.759843,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-shov-13.719-1-1.561-0.01965-0.67-2.13-0-0.482-1.093-9.636-8-r327-8.rsml,1324.3933,202.0,352.0,257.31482,5,1067.0,213.9311,5.6929154,0.019902594,3,254.0,84.91259,3.6623561,50.06348,11,8.0,5.0,0.625
monocot-shov-13.731-1-1.167-0.02392-0.154-3.179-0-1.673-1.105-12.886-7-r351-7.rsml,4229.2153,204.0,1230.0,285.1564,5,3779.0,756.3947,19.759846,0.033343103,5,444.0,89.44836,3.0506546,53.825512,15,10.0,6.0,0.6
monocot-shov-13.754-1-1.111-0.01353-0.215-5.132-0-0.986-1.11-23.173-8-r56-8.rsml,3290.8328,237.0,876.0,263.9256,6,3011.0,502.13657,11.645673,0.01651485,4,276.0,69.503365,2.4706237,47.751587,14,10.0,6.0,0.6
