image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.4-0.5-25-r3-12.rsml,10866.993,654.0,1053.0,264.79312,9,5139.0,571.4472,4.707313,0.029796248,41,5705.0,139.60896,2.3008714,25.292597,91,50.0,14.0,0.28
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.4-0.5-35-r3-12.rsml,10657.806,733.0,987.0,274.85764,9,5047.0,561.24335,4.6156597,0.0349784,37,5589.0,151.53012,2.2490385,22.401615,83,46.0,12.0,0.26086956
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.4-0.5-5-r3-12.rsml,7204.8525,792.0,994.0,278.05685,9,4881.0,542.96295,4.493774,0.018414265,18,2308.0,128.78816,2.2094738,26.6933,45,27.0,9.0,0.33333334
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.4-1-15-r3-12.rsml,8306.462,418.0,929.0,268.81857,9,4400.0,489.35727,4.272245,0.036557157,30,3887.0,130.07497,2.0796828,43.88071,69,39.0,13.0,0.33333334
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.4-1-25-r3-12.rsml,10398.885,703.0,998.0,272.95047,9,4895.0,544.4373,4.568123,0.042912148,35,5482.0,157.11281,2.2205105,46.298042,79,44.0,13.0,0.29545453
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.4-1-35-r3-12.rsml,11275.583,696.0,1043.0,253.97969,9,5182.0,576.2867,4.698975,0.03505065,42,6066.0,144.97624,2.305085,36.953644,93,51.0,14.0,0.27450982
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.4-1-5-r3-12.rsml,6019.365,606.0,940.0,248.49179,9,4716.0,524.55023,4.3359394,0.020666983,12,1293.0,108.20107,2.1098351,61.41495,33,21.0,9.0,0.42857143
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.4-1.5-15-r3-12.rsml,9372.318,697.0,1001.0,255.17065,9,4934.0,548.89276,4.5801635,0.03280332,35,4416.0,126.636665,2.2184298,59.004032,79,44.0,12.0,0.27272728
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.4-1.5-25-r3-12.rsml,10506.888,544.0,996.0,250.69933,9,4810.0,534.9805,4.5747395,0.030222151,38,5672.0,149.79114,2.2263193,60.129253,85,47.0,13.0,0.27659574
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.4-1.5-35-r3-12.rsml,10966.839,755.0,996.0,246.00975,9,4959.0,551.51764,4.4318233,0.038776256,43,5982.0,139.60887,2.1477053,66.51504,95,52.0,14.0,0.26923078
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.4-1.5-5-r3-12.rsml,6836.4536,854.0,1059.0,248.36983,9,5026.0,559.0448,4.6766114,0.01692512,16,1799.0,112.815636,2.2505364,67.18628,41,25.0,9.0,0.36
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.9-0.5-15-r3-12.rsml,53491.246,875.0,2287.0,271.5143,10,12363.0,1236.8083,9.717934,0.02253209,131,41058.0,313.91724,4.6362295,15.917639,272,141.0,33.0,0.23404256
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.9-0.5-25-r3-12.rsml,58953.84,835.0,2347.0,273.34106,10,12737.0,1274.425,9.936549,0.020396944,132,46142.0,350.07272,4.7577305,15.045655,274,142.0,33.0,0.23239437
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.9-0.5-35-r3-12.rsml,58859.34,848.0,2287.0,262.18326,10,12279.0,1228.2997,9.617195,0.026273072,136,46503.0,342.47314,4.6190996,15.184025,282,146.0,33.0,0.2260274
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.9-0.5-5-r3-12.rsml,42993.4,964.0,2444.0,268.36002,10,13127.0,1313.2955,10.33521,0.018163443,127,29798.0,235.1216,4.9613214,16.35424,264,137.0,30.0,0.2189781
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.9-1-15-r3-12.rsml,49145.42,1035.0,2339.0,270.87756,10,12703.0,1270.8066,10.073871,0.020551894,136,36370.0,267.9217,4.817025,34.73156,282,146.0,32.0,0.21917808
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.9-1-25-r3-12.rsml,61832.453,1048.0,2401.0,268.06323,10,12882.0,1288.7815,10.266841,0.023693543,168,48861.0,291.33716,4.908601,32.274452,346,178.0,39.0,0.21910113
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.9-1-35-r3-12.rsml,59511.438,1032.0,2342.0,268.91083,10,12475.0,1247.8513,9.853427,0.024011884,141,46963.0,333.56686,4.722892,34.0284,292,151.0,37.0,0.24503312
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.9-1-5-r3-12.rsml,34105.09,720.0,2288.0,258.77145,10,12304.0,1230.959,9.808323,0.022399737,102,21744.0,213.68132,4.702191,33.36972,214,112.0,27.0,0.24107143
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.9-1.5-15-r3-12.rsml,50307.094,954.0,2406.0,264.75815,10,12758.0,1276.2312,10.109277,0.024993544,146,37475.0,257.15613,4.8392043,59.351395,302,156.0,37.0,0.23717949
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.9-1.5-25-r3-12.rsml,58508.145,964.0,2406.0,261.18408,10,12799.0,1280.2788,10.31797,0.020716177,161,45622.0,283.88412,4.9372215,51.490643,332,171.0,41.0,0.23976608
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.9-1.5-35-r3-12.rsml,52437.758,1079.0,2281.0,257.75122,10,12622.0,1262.5946,9.663951,0.02596872,142,39741.0,280.36496,4.6315684,53.332043,294,152.0,36.0,0.23684211
monocot-3D-25-1-1.6-0.021-0.5-4-0-0.9-1.5-5-r3-12.rsml,30215.11,959.0,2288.0,265.8302,10,12352.0,1235.898,9.652476,0.017152837,99,17797.0,180.36494,4.6187015,49.180748,208,109.0,27.0,0.24770643
monocot-3D-25-1-1.6-0.021-0.5-4-0-1.4-0.5-15-r3-12.rsml,139541.02,1119.0,3644.0,267.91232,10,19964.0,1996.9651,15.2583475,0.02367359,282,119430.0,424.012,7.245127,14.745263,574,292.0,66.0,0.2260274
monocot-3D-25-1-1.6-0.021-0.5-4-0-1.4-0.5-25-r3-12.rsml,158287.17,943.0,3691.0,268.34143,10,19887.0,1989.2512,15.383642,0.023681182,288,138252.0,480.53705,7.3232226,14.261272,586,298.0,65.0,0.2181208
monocot-3D-25-1-1.6-0.021-0.5-4-0-1.4-0.5-35-r3-12.rsml,175214.14,1064.0,3868.0,267.8454,10,20975.0,2097.9907,16.07422,0.023050828,291,154095.0,530.0147,7.6239176,13.55484,592,301.0,66.0,0.2192691
monocot-3D-25-1-1.6-0.021-0.5-4-0-1.4-0.5-5-r3-12.rsml,103513.086,788.0,3699.0,274.31454,10,20292.0,2029.7302,15.46388,0.019296192,242,83098.0,343.867,7.371295,13.528431,494,252.0,58.0,0.23015873
