 ;image;tot_root_length;n_primary;tot_prim_length;mean_prim_length;mean_prim_diameter;mean_lat_density;n_laterals;tot_lat_length;mean_lat_length;mean_lat_diameter;mean_lat_angle
1128;sim-0.15-0.2-10-0.3-4-1-0.6-20-3.rsml;296.983;5;209;42.323;0.559;0.382;16;75;5.336;0.132;35.503
1129;sim-0.15-0.2-10-0.3-4-1-0.6-20-4.rsml;285.721;5;211;42.511;0.559;0.335;13;67;5.628;0.129;37.725
1130;sim-0.15-0.2-10-0.3-4-1-0.6-20-5.rsml;279.465;5;211;42.579;0.559;0.334;13;58;5.121;0.129;30.421
1131;sim-0.15-0.2-10-0.3-4-1-0.8-20-1.rsml;468.588;5;289;58.174;0.745;0.335;25;166;7.109;0.163;31.423
1132;sim-0.15-0.2-10-0.3-4-1-0.8-20-2.rsml;482.019;5;290;58.399;0.745;0.334;25;176;7.601;0.164;36.724
1133;sim-0.15-0.2-10-0.3-4-1-0.8-20-3.rsml;479.575;5;289;58.329;0.745;0.335;25;174;7.517;0.162;40.061
1134;sim-0.15-0.2-10-0.3-4-1-0.8-20-4.rsml;481.749;5;290;58.419;0.745;0.335;25;178;7.586;0.162;34.585
1135;sim-0.15-0.2-10-0.3-4-1-0.8-20-5.rsml;489.834;5;290;58.376;0.745;0.337;25;187;7.918;0.165;41.536
1136;sim-0.15-0.2-10-0.3-4-1-1-20-1.rsml;713.204;5;368;74.357;0.931;0.292;37;322;9.228;0.198;34.568
1137;sim-0.15-0.2-10-0.3-4-1-1-20-2.rsml;688.687;5;368;74.247;0.931;0.269;36;302;8.818;0.197;29.233
1138;sim-0.15-0.2-10-0.3-4-1-1-20-3.rsml;710.285;5;368;74.203;0.931;0.3;36;322;9.424;0.199;33.309
1139;sim-0.15-0.2-10-0.3-4-1-1-20-4.rsml;702.128;5;370;74.345;0.931;0.276;37;312;8.93;0.201;25.491
1140;sim-0.15-0.2-10-0.3-4-1-1-20-5.rsml;722.728;5;368;74.336;0.931;0.294;38;328;9.238;0.198;35.889
1141;sim-0.15-0.2-10-1-2-0.5-0.6-20-1.rsml;1883.794;15;814;54.694;0.559;0.539;147;991;7.234;0.133;18.415
1142;sim-0.15-0.2-10-1-2-0.5-0.6-20-2.rsml;1864.261;15;810;54.52;0.559;0.543;147;975;7.119;0.133;17.293
1143;sim-0.15-0.2-10-1-2-0.5-0.6-20-3.rsml;1883.525;15;810;54.615;0.559;0.53;147;992;7.24;0.133;17.566
1144;sim-0.15-0.2-10-1-2-0.5-0.6-20-4.rsml;1870.475;15;809;54.54;0.559;0.522;149;972;7.063;0.133;18.781
1145;sim-0.15-0.2-10-1-2-0.5-0.6-20-5.rsml;1897.588;15;810;54.537;0.559;0.529;152;1002;7.102;0.133;16.632
1146;sim-0.15-0.2-10-1-2-0.5-0.8-20-1.rsml;3271.736;15;1125;75.398;0.745;0.546;235;2018;9.11;0.166;15.67
1147;sim-0.15-0.2-10-1-2-0.5-0.8-20-2.rsml;3261.761;15;1125;75.438;0.745;0.547;235;2006;9.065;0.166;16.179
1148;sim-0.15-0.2-10-1-2-0.5-0.8-20-3.rsml;3279.28;15;1125;75.44;0.745;0.548;235;2025;9.139;0.167;15.872
1149;sim-0.15-0.2-10-1-2-0.5-0.8-20-4.rsml;3297.253;15;1126;75.408;0.745;0.545;235;2053;9.218;0.166;16.861
1150;sim-0.15-0.2-10-1-2-0.5-0.8-20-5.rsml;3285.303;15;1125;75.507;0.745;0.544;235;2034;9.16;0.167;15.552
1151;sim-0.15-0.2-10-1-2-0.5-1-20-1.rsml;5220.803;15;1427;95.659;0.931;0.511;337;3617;11.234;0.204;15.649
